"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 17, 03:00 pm",49362.6,6.42,4.707,-6.53
"Jan 17, 04:00 pm",165192,9.28,1.72789,-6.59
"Jan 17, 05:00 pm",192594,9.88,1.90947,-6.99
"Jan 17, 06:00 pm",223368,10.56,1.69297,-7.34
"Jan 17, 07:00 pm",213999,10.34,1.41383,-7.7
"Jan 17, 08:00 pm",226352,10.61,1.38337,-7.81
"Jan 17, 09:00 pm",212664,10.3,1.36288,-8.01
"Jan 17, 10:00 pm",199114,9.99,1.58718,-8.18
"Jan 17, 11:00 pm",133111,8.53,2.20987,-8.23
"Jan 18, 12:00 am",103893,7.83,2.33387,-8.26
"Jan 18, 01:00 am",71517.5,7.04,4.51082,-8.41
"Jan 18, 02:00 am",39107.8,6.04,4.9235,-8.38
"Jan 18, 03:00 am",43252.6,6.16,2.83627,-8.65
"Jan 18, 04:00 am",41831.2,6.1,2.28442,-8.63
"Jan 18, 05:00 am",36619.8,5.93,3.78411,-8.6
"Jan 18, 06:00 am",66225,6.86,2.34974,-8.57
"Jan 18, 07:00 am",123995,8.33,2.39611,-8.54
"Jan 18, 08:00 am",133146,8.58,3.63414,-8.35
"Jan 18, 09:00 am",184204,9.77,3.90347,-7.58
"Jan 18, 10:00 am",156710,9.2,4.55736,-6.3
"Jan 18, 11:00 am",152601,9.08,3.79537,-5.97
"Jan 18, 12:00 pm",140391,8.74,1.83134,-4.99
"Jan 18, 01:00 pm",152068,9.02,1.81289,-4.53
"Jan 18, 02:00 pm",92212.1,7.58,2.5399,-3.9
"Jan 18, 03:00 pm",57427.4,6.67,2.99395,-3.34
"Jan 18, 04:00 pm",30471.3,5.76,3.1114,-3.25
"Jan 18, 05:00 pm",49622.6,6.44,3.23328,-3.23
"Jan 18, 06:00 pm",33140.5,5.89,6.25156,-3.22
"Jan 18, 07:00 pm",50280.9,6.44,2.19705,-3.55
